date,sector,both,temp,change,temp_pct,change2006,color
2011,Miscellaneous Manufacturing,6327,818,-4.2379294687,12.9287181919,-31.2506791264,blue
2011,Non-Metallic Minerals,6337,745,-0.782840144,11.7563515859,-43.4398429132,blue
2011,Paper and Printing,6097,551,-4.0144836272,9.0372314253,-22.9300973328,blue
2011,Rubber and Plastics,6903,666,-0.5761198329,9.6479791395,-22.0704447957,blue
2011,Textiles,1423,294,-8.1935483871,20.6605762474,-39.472564866,blue
2011,Transport Equipment,4367,248,5.3304389773,5.6789558049,-33.2058733558,blue
2011,Wood and Wood Products,4490,331,-4.1417591802,7.3719376392,-41.8694976696,blue
2011,"Agriculture, Fishing and Forestry",2512,289,3.417044051,11.5047770701,-30.2222222222,orange
2011,Mining and Quarrying,1775,292,-0.1125492403,16.4507042254,-12.7764127764,orange
2011,Business Services,18903,3834,1.7603359173,20.2824948421,11.8785511364,red
2011,Computer consultancy activities,27845,3212,5.7057171058,11.5352846112,-8.4076181705,green
2011,Computer facilities management activities,8960,874,7.1513991868,9.7544642857,-11.4711984982,green
2011,Computer programming activities,22833,2412,6.5767363704,10.5636578636,3.0277050808,green
2011,Financial Services,21804,1654,4.0813403981,7.58576408,23.3257918552,red
2011,Other Information and Communication,7871,1491,5.8926409256,18.9429551518,26.1984928652,green
2011,Other information technology and computer service activities,7462,847,11.8070122865,11.3508442777,119.2126909518,green
2011,Other Services,11484,2501,0.8784258609,21.7781260885,-5.1771117166,red
2012,Basic and Fabricated Metal Products,10546,911,-3.3363886343,8.6383462924,-34.8690711462,blue
2012,Chemicals,24950,3048,1.7412225258,12.2164328657,-7.3799094216,blue
2012,"Clothing, Footwear and Leather",1541,320,-4.6410891089,20.7657365347,-40.2017850213,blue
2012,"Computer, Electronic and Optical Equipment",20782,2007,1.7428767257,9.6573958233,-16.3870448602,blue
2012,"Construction, Energy, Water and Waste *",10801,587,2.9156741305,5.4346819739,-19.3895066796,orange
2012,Drink and Tobacco,5160,320,-4.6563192905,6.2015503876,-24.1176470588,blue
2012,Electrical Equipment,5525,656,8.1424936387,11.8733031674,-29.2029728344,blue
2012,Food,43334,4734,2.8529383841,10.9244473162,-3.3844644609,blue
2012,Machinery and Equipment,10834,852,2.9652157385,7.8641314381,-17.9739551787,blue
2012,Medical and dental instruments and supplies,25398,3517,4.1285720143,13.8475470509,12.3954507235,blue
2012,Miscellaneous Manufacturing,6092,762,-3.7142405563,12.5082074852,-33.8041942845,blue
2012,Non-Metallic Minerals,5708,630,-9.9258324128,11.0371408549,-49.0539093181,blue
2012,Paper and Printing,6197,539,1.6401508939,8.6977569792,-21.6660346353,blue
2012,Rubber and Plastics,6948,613,0.6518904824,8.8226827864,-21.5624294423,blue
2012,Textiles,1317,242,-7.4490513001,18.3750949127,-43.9812845598,blue
2012,Transport Equipment,4460,319,2.1296084268,7.1524663677,-31.7834200061,blue
2012,Wood and Wood Products,4386,306,-2.3162583519,6.976744186,-43.2159502848,blue
2012,"Agriculture, Fishing and Forestry",2654,329,5.652866242,12.3963828184,-26.2777777778,orange
2012,Mining and Quarrying,1662,203,-6.3661971831,12.2141997593,-18.3292383292,orange
2012,Business Services,19388,3538,2.5657303074,18.2484010728,14.7490530303,red
2012,Computer consultancy activities,28439,3460,2.1332375651,12.1663912233,-6.4537350745,green
2012,Computer facilities management activities,10286,928,14.7991071429,9.0219716119,1.6302736884,green
2012,Computer programming activities,25569,3090,11.9826566811,12.084946615,15.373161267,green
2012,Financial Services,22065,1505,1.1970280682,6.8207568547,24.8020361991,red
2012,Other Information and Communication,8163,1593,3.7098208614,19.5148842337,30.8802308802,green
2012,Other information technology and computer service activities,7975,858,6.8748324846,10.7586206897,134.2831962397,green
2012,Other Services,11716,2625,2.0202020202,22.4052577672,-3.2614978119,red
2013,Basic and Fabricated Metal Products,10898,915,3.3377583918,8.3960359699,-32.6951581028,blue
2013,Chemicals,25459,3162,2.0400801603,12.4199693625,-5.4903853293,blue
2013,"Clothing, Footwear and Leather",1511,275,-1.9467878001,18.1998676373,-41.3659293752,blue
2013,"Computer, Electronic and Optical Equipment",21773,2142,4.7685497065,9.8378725945,-12.3999195333,blue
2013,"Construction, Energy, Water and Waste *",11328,954,4.8791778539,8.4216101695,-15.4563773416,orange
2013,Drink and Tobacco,4772,394,-7.519379845,8.256496228,-29.8235294118,blue
2013,Electrical Equipment,5700,550,3.1674208145,9.649122807,-26.96053306,blue
2013,Food,44517,5562,2.7299580006,12.4941033762,-0.7469009186,blue
2013,Machinery and Equipment,11189,827,3.2767214325,7.3911877737,-15.2861901878,blue
2013,Medical and dental instruments and supplies,25611,3722,0.8386487125,14.5328179298,13.3380537239,blue
2013,Miscellaneous Manufacturing,5696,708,-6.5003282994,12.4297752809,-38.1071389764,blue
2013,Non-Metallic Minerals,6115,651,7.1303433777,10.6459525756,-45.421278115,blue
2013,Paper and Printing,5883,506,-5.0669678877,8.6010538841,-25.6351915055,blue
2013,Rubber and Plastics,7246,675,4.2890040299,9.3154844052,-18.1982388801,blue
2013,Textiles,1355,269,2.8853454822,19.852398524,-42.3649510846,blue
2013,Transport Equipment,4821,424,8.0941704036,8.794855839,-26.2618537779,blue
2013,Wood and Wood Products,4422,320,0.8207934337,7.23654455,-42.7498705334,blue
2013,"Agriculture, Fishing and Forestry",2816,283,6.1039939714,10.0497159091,-21.7777777778,orange
2013,Mining and Quarrying,1747,352,5.1143200963,20.1488265598,-14.1523341523,orange
2013,Business Services,21293,3929,9.82566536,18.4520734514,26.0239109848,red
2013,Computer consultancy activities,30021,4046,5.5627835015,13.4772326038,-1.2499588829,green
2013,Computer facilities management activities,10791,1065,4.9095858448,9.8693355574,6.6198992194,green
2013,Computer programming activities,27115,3423,6.0463842935,12.6240088512,22.3490659688,green
2013,Financial Services,22792,1646,3.2948107863,7.2218322218,28.9140271493,red
2013,Other Information and Communication,8701,1643,6.5907141982,18.8828870245,39.5061728395,green
2013,Other information technology and computer service activities,9668,1317,21.2288401254,13.6222589988,184.0188014101,green
2013,Other Services,12149,2716,3.6958006145,22.3557494444,0.3137643465,red
2014,Basic and Fabricated Metal Products,11788,892,8.16663608,7.5670173057,-27.1986166008,blue
2014,Chemicals,25773,3311,1.2333555913,12.8467776355,-4.3247457124,blue
2014,"Clothing, Footwear and Leather",1470,297,-2.7134348114,20.2040816327,-42.9569266589,blue
2014,"Computer, Electronic and Optical Equipment",22855,2086,4.9694575851,9.1271056662,-8.04667069,blue
2014,"Construction, Energy, Water and Waste *",11224,1125,-0.918079096,10.0231646472,-16.2325546683,orange
2014,Drink and Tobacco,4539,429,-4.8826487846,9.4514210178,-33.25,blue
2014,Electrical Equipment,5731,443,0.5438596491,7.7298900715,-26.5633008713,blue
2014,Food,46366,5783,4.1534694611,12.4725014019,3.375546241,blue
2014,Machinery and Equipment,11714,905,4.6921083207,7.7257981902,-11.3113264688,blue
2014,Medical and dental instruments and supplies,26784,3418,4.5800632541,12.7613500597,18.5290082754,blue
2014,Miscellaneous Manufacturing,5798,687,1.7907303371,11.8489134184,-36.9988047376,blue
2014,Non-Metallic Minerals,6234,774,1.9460343418,12.4157844081,-44.3591574438,blue
2014,Paper and Printing,5935,498,0.8839027707,8.3909014322,-24.9778789028,blue
2014,Rubber and Plastics,7442,730,2.7049406569,9.8091910777,-15.9855497855,blue
2014,Textiles,1402,261,3.4686346863,18.6162624822,-40.3658017865,blue
2014,Transport Equipment,4653,452,-3.4847542004,9.7141629057,-28.8314469257,blue
2014,Wood and Wood Products,4587,286,3.7313432836,6.2350119904,-40.6136716727,blue
2014,"Agriculture, Fishing and Forestry",2865,308,1.7400568182,10.7504363002,-20.4166666667,orange
2014,Mining and Quarrying,1898,486,8.6433886663,25.6059009484,-6.7321867322,orange
2014,Business Services,26313,5792,23.5758230404,22.0119332649,55.7350852273,red
2014,Computer consultancy activities,31253,3631,4.1037940109,11.6180846639,2.8025393902,green
2014,Computer facilities management activities,10848,1086,0.5282179594,10.0110619469,7.1830846754,green
2014,Computer programming activities,29143,2450,7.4792550249,8.4068215352,31.4998646332,green
2014,Financial Services,24578,1818,7.8360828361,7.3968589796,39.0158371041,red
2014,Other Information and Communication,9382,1664,7.8266865877,17.7360903858,50.4248837582,green
2014,Other information technology and computer service activities,10951,1354,13.2705833678,12.3641676559,221.7097532315,green
2014,Other Services,13422,3052,10.4782286608,22.738787066,10.8248699529,red
2015,Basic and Fabricated Metal Products,12349,1017,4.7590770275,8.2354846546,-23.7339426877,blue
2015,Chemicals,27346,3484,6.103286385,12.7404373583,1.5145890564,blue
2015,"Clothing, Footwear and Leather",1492,287,1.4965986395,19.235924933,-42.1032207994,blue
2015,"Computer, Electronic and Optical Equipment",25141,2368,10.0021877051,9.4188775307,1.1506739087,blue
2015,"Construction, Energy, Water and Waste *",11560,600,2.9935851746,5.1903114187,-13.7249048436,orange
2015,Drink and Tobacco,4395,400,-3.172504957,9.1012514221,-35.3676470588,blue
2015,Electrical Equipment,5807,426,1.3261210958,7.3359738247,-25.5894413121,blue
2015,Food,48073,5969,3.6815770176,12.4165331891,7.1813965932,blue
2015,Machinery and Equipment,12443,794,6.2233225201,6.381097806,-5.7919442762,blue
2015,Medical and dental instruments and supplies,27134,3849,1.3067502987,14.1851551559,20.0778864451,blue
2015,Miscellaneous Manufacturing,6293,780,8.5374266989,12.3947242968,-31.6201238727,blue
2015,Non-Metallic Minerals,6785,732,8.8386268848,10.7885040531,-39.4412709747,blue
2015,Paper and Printing,6016,499,1.3647851727,8.2945478723,-23.9539881178,blue
2015,Rubber and Plastics,7799,660,4.7970975544,8.4626234133,-11.9552946489,blue
2015,Textiles,1452,251,3.5663338088,17.2865013774,-38.239047214,blue
2015,Transport Equipment,4660,360,0.150440576,7.7253218884,-28.7243805445,blue
2015,Wood and Wood Products,4738,318,3.291911925,6.7116926973,-38.6587260487,blue
2015,"Agriculture, Fishing and Forestry",2876,268,0.3839441536,9.3184979138,-20.1111111111,orange
2015,Mining and Quarrying,1933,498,1.8440463646,25.763062597,-5.0122850123,orange
2015,Business Services,29308,6851,11.3822065139,23.3758700696,73.4611742424,red
2015,Computer consultancy activities,32496,3642,3.9772181871,11.2075332349,6.8912206835,green
2015,Computer facilities management activities,11747,834,8.2872418879,7.099685026,16.0656061654,green
2015,Computer programming activities,31529,2773,8.1872147686,8.7950775477,42.266040971,green
2015,Financial Services,26900,2163,9.4474733502,8.0408921933,52.149321267,red
2015,Other Information and Communication,10555,1872,12.502664677,17.7356702984,69.2320025653,green
2015,Other information technology and computer service activities,12409,1518,13.3138526162,12.2330566524,264.5417156287,green
2015,Other Services,14207,3152,5.848606765,22.1862462167,17.3065807943,red
