date,sector,both,temp,change,temp_pct
2011,"Agriculture, Fishing and Forestry",2512,289,3.417044051,11.5047770701
2011,Mining and Quarrying,1775,292,-0.1125492403,16.4507042254
2011,Services,127162,16825,4.9676418147,13.2311539611
2011,Business Services,18903,3834,1.7603359173,20.2824948421
2011,Computer consultancy activities,27845,3212,5.7057171058,11.5352846112
2011,Computer facilities management activities,8960,874,7.1513991868,9.7544642857
2011,Computer programming activities,22833,2412,6.5767363704,10.5636578636
2011,Financial Services,21804,1654,4.0813403981,7.58576408
2011,Other Information and Communication,7871,1491,5.8926409256,18.9429551518
2011,Other information technology and computer service activities,7462,847,11.8070122865,11.3508442777
2011,Other Services,11484,2501,0.8784258609,21.7781260885
2012,Manufacturing & Other Industry,193979,20363,1.3050971381,10.4975280829
2012,Basic and Fabricated Metal Products,10546,911,-3.3363886343,8.6383462924
2012,Chemicals,24950,3048,1.7412225258,12.2164328657
2012,"Clothing, Footwear and Leather",1541,320,-4.6410891089,20.7657365347
2012,"Computer, Electronic and Optical Equipment",20782,2007,1.7428767257,9.6573958233
2012,"Construction, Energy, Water and Waste *",10801,587,2.9156741305,5.4346819739
2012,Drink and Tobacco,5160,320,-4.6563192905,6.2015503876
2012,Electrical Equipment,5525,656,8.1424936387,11.8733031674
2012,Food,43334,4734,2.8529383841,10.9244473162
2012,Machinery and Equipment,10834,852,2.9652157385,7.8641314381
2012,Medical and dental instruments and supplies,25398,3517,4.1285720143,13.8475470509
2012,Miscellaneous Manufacturing,6092,762,-3.7142405563,12.5082074852
2012,Non-Metallic Minerals,5708,630,-9.9258324128,11.0371408549
2012,Paper and Printing,6197,539,1.6401508939,8.6977569792
2012,Rubber and Plastics,6948,613,0.6518904824,8.8226827864
2012,Textiles,1317,242,-7.4490513001,18.3750949127
2012,Transport Equipment,4460,319,2.1296084268,7.1524663677
2012,Wood and Wood Products,4386,306,-2.3162583519,6.976744186
2012,Primary Production,4316,532,0.6764637275,12.3262279889
